Punto 1,Cantidad de puntos alrededor
49.0,33
50.0,36
69.0,36
70.0,38
71.0,37
72.0,36
73.0,34
74.0,35
76.0,35
77.0,33
78.0,33
79.0,34
80.0,35
81.0,32
82.0,33
87.0,30
88.0,32
89.0,35
90.0,33
91.0,34
92.0,37
93.0,34
94.0,35
95.0,34
98.0,34
103.0,33
104.0,35
105.0,35
106.0,35
107.0,36
113.0,33
114.0,33
115.0,32
116.0,33
117.0,34
118.0,30
119.0,31
120.0,31
121.0,33
122.0,35
127.0,34
128.0,35
129.0,30
130.0,32
131.0,31
132.0,31
133.0,32
134.0,32
135.0,31
138.0,30
139.0,32
140.0,31
141.0,33
142.0,32
143.0,28
144.0,32
145.0,32
149.0,35
150.0,30
151.0,32
152.0,32
153.0,30
154.0,28
155.0,30
156.0,31
157.0,31
158.0,30
159.0,32
160.0,34
161.0,32
162.0,30
163.0,29
164.0,26
165.0,28
166.0,29
167.0,29
168.0,28
169.0,31
171.0,29
172.0,29
173.0,27
174.0,24
178.0,27
179.0,29
180.0,28
181.0,29
182.0,29
183.0,30
185.0,30
186.0,31
187.0,32
189.0,29
190.0,29
191.0,31
193.0,30
194.0,28
195.0,31
198.0,29
200.0,27
206.0,32
207.0,33
208.0,31
209.0,31
210.0,30
211.0,29
212.0,30
213.0,28
214.0,28
215.0,27
220.0,30
221.0,29
222.0,31
226.0,36
227.0,35
228.0,34
229.0,33
230.0,32
231.0,30
232.0,32
233.0,27
234.0,29
235.0,28
244.0,30
245.0,28
246.0,26
247.0,29
248.0,26
249.0,29
250.0,28
251.0,28
252.0,28
253.0,31
254.0,32
264.0,33
266.0,31
267.0,31
268.0,28
269.0,30
270.0,26
271.0,28
272.0,28
273.0,30
274.0,28
275.0,27
276.0,27
286.0,28
287.0,25
288.0,26
289.0,26
290.0,29
291.0,29
292.0,29
297.0,31
298.0,29
299.0,30
300.0,29
301.0,29
302.0,29
303.0,29
304.0,27
305.0,29
306.0,28
307.0,26
327.0,28
328.0,28
329.0,30
330.0,31
331.0,31
332.0,30
333.0,28
334.0,30
335.0,31
345.0,31
346.0,29
347.0,31
348.0,30
349.0,30
350.0,32
351.0,30
368.0,32
