Punto 1,Punto 2,Distancia (µm)
49.0,2.0,0.6834412922848605
49.0,4.0,0.6318607441517474
49.0,5.0,0.7123096236890247
49.0,6.0,0.4621796187630952
49.0,7.0,0.43388938682572087
49.0,8.0,0.5411478541027397
49.0,9.0,0.45931470692761406
49.0,10.0,0.7253061422599425
49.0,11.0,0.2363577796477197
49.0,12.0,0.23843867136016333
49.0,13.0,0.4520398212547209
49.0,14.0,0.615077230923077
49.0,17.0,0.6548473104472522
49.0,46.0,0.7170076708097342
49.0,47.0,0.6282396039728791
49.0,48.0,0.24516525039246487
49.0,50.0,0.2561347301714471
49.0,51.0,0.41690886294249013
49.0,52.0,0.6833717875358918
49.0,76.0,0.5360596981680306
49.0,81.0,0.33977934016064004
49.0,82.0,0.23468276459936302
49.0,83.0,0.2903876719146321
49.0,84.0,0.44815399139135204
49.0,85.0,0.6346038134143223
49.0,87.0,0.5409408470433712
49.0,120.0,0.6470030911827239
49.0,121.0,0.493316328535758
49.0,122.0,0.456395661679644
49.0,123.0,0.5174417841651368
49.0,125.0,0.7437506302518339
49.0,126.0,0.6931089380465383
49.0,127.0,0.6369089416863293
50.0,4.0,0.7156123252152662
50.0,5.0,0.7178648897947301
50.0,6.0,0.4816897341650536
50.0,7.0,0.5678741057664102
50.0,8.0,0.7415348946610671
50.0,9.0,0.7070650606556657
50.0,11.0,0.4509833699816436
50.0,12.0,0.25221022976873875
50.0,13.0,0.3257437643301863
50.0,14.0,0.5353027180950979
50.0,15.0,0.7279320023188979
50.0,16.0,0.6178195529440614
50.0,17.0,0.4567997373029016
50.0,18.0,0.7272523633512648
50.0,20.0,0.6249943999749117
50.0,48.0,0.5011077728393365
50.0,49.0,0.2561347301714471
50.0,51.0,0.19014205216100935
50.0,52.0,0.43449510929353397
50.0,53.0,0.6767170752980894
50.0,76.0,0.28310598722033414
50.0,77.0,0.5373453265824502
50.0,81.0,0.2201930970761799
50.0,82.0,0.31607752213657975
50.0,83.0,0.4981284974783114
50.0,84.0,0.6924803246302381
50.0,87.0,0.342312722521381
50.0,88.0,0.5354717546239016
50.0,89.0,0.7457647082022587
50.0,119.0,0.5867137291729246
50.0,120.0,0.5313097025276314
50.0,121.0,0.4642111588490737
50.0,122.0,0.5600446410778341
50.0,123.0,0.6950949575417735
50.0,127.0,0.6653675675895242
50.0,128.0,0.7103808837518081
69.0,29.0,0.6743826806791529
69.0,30.0,0.5854271944486351
69.0,31.0,0.6530275645024488
69.0,32.0,0.7344664730265092
69.0,33.0,0.5315834835658461
69.0,34.0,0.39923927662493336
69.0,35.0,0.3959419149319758
69.0,36.0,0.5743953342428887
69.0,37.0,0.6706847247403209
69.0,41.0,0.6016643582596529
