x1,y1
0.154,0.239
0.335,0.098
0.314,0.402
0.095,0.473
0.27,0.616
0.166,0.809
0.417,0.821
0.486,0.602
0.538,0.367
0.791,0.337
0.533,0.15
0.726,0.607
0.656,0.875
0.52,1.064
0.31,1.024
0.119,1.095
0.27,1.268
0.466,1.297
0.285,1.506
0.269,1.761
0.488,1.555
0.474,1.807
0.329,2.01
0.136,1.991
0.21,2.234
0.394,2.247
0.35,2.496
0.152,2.48
0.272,2.722
0.49,2.731
0.411,2.911
0.255,3.023
0.123,3.165
0.314,3.264
0.48,3.141
0.467,3.426
0.365,3.622
0.191,3.458
0.156,3.717
0.344,3.897
0.175,3.998
0.528,3.817
0.586,3.642
0.806,3.806
0.697,4.006
0.495,4.058
0.778,0.078
1.011,0.174
0.923,0.547
0.878,0.788
0.845,1.042
0.7,1.165
0.664,1.437
0.7,1.703
0.567,2.036
0.586,2.258
0.551,2.487
0.642,3.398
0.692,3.152
0.669,2.925
0.707,2.71
0.781,3.575
0.977,3.577
1.039,3.816
1.116,4.047
0.893,4.064
0.098,2.803
1.266,3.873
1.489,3.957
0.844,3.305
0.872,3.085
0.888,2.88
0.902,2.657
0.768,2.459
0.769,2.198
0.747,1.949
0.87,1.324
0.883,1.578
0.923,1.827
0.94,2.073
0.981,2.348
1.063,1.073
1.102,0.858
1.119,0.626
1.097,0.397
1.257,0.279
1.22,0.078
1.082,1.289
1.096,1.515
1.118,1.736
1.138,1.975
1.173,2.211
1.081,2.602
1.125,2.838
1.071,3.055
1.05,3.313
1.199,3.663
1.246,3.445
1.243,3.174
1.405,3.686
1.695,3.889
1.664,3.644
1.498,3.464
1.442,3.23
1.326,2.994
1.325,2.758
1.395,2.593
1.22,2.443
1.932,3.975
1.9,3.689
2.14,3.892
1.902,3.396
1.699,3.333
1.577,3.065
1.523,2.869
1.394,2.338
1.343,2.082
1.358,1.872
1.318,1.663
1.277,1.439
1.336,1.245
1.309,1.028
1.334,0.769
1.339,0.553
1.472,0.212
1.54,0.449
1.566,0.704
1.5,0.925
1.545,1.163
1.503,1.459
1.562,1.99
1.561,2.23
1.58,2.483
1.664,2.697
1.736,2.913
1.812,3.139
2.345,3.762
2.115,3.59
2.146,3.261
1.968,2.987
1.902,2.714
1.792,2.446
1.755,2.177
1.777,1.934
1.773,1.638
1.685,1.369
1.716,0.237
1.752,0.476
1.789,0.739
1.723,0.96
1.825,1.181
1.912,1.421
2.07,1.613
1.951,1.782
2.054,1.973
1.95,2.169
2.015,2.461
2.263,2.113
2.321,1.545
2.17,1.03
2.555,0.824
2.679,1.286
2.761,1.813
2.449,2.764
2.748,3.261
2.752,2.302
3.034,2.334
3.071,2.676
3.381,2.77
3.134,1.064
3.208,0.645
3.183,1.543
3.279,1.813
3.589,2.198
3.616,3.221
3.511,3.54
3.97,3.673
4.09,3.331
3.865,2.903
3.955,2.454
4.203,2.459
4.453,2.482
4.068,2.172
3.613,0.983
4.012,0.684
4.067,1.193
4.506,0.803
4.336,1.271
4.974,1.292
3.713,1.517
4.226,1.703
4.67,1.614
4.96,1.674
3.771,1.748
4.033,1.893
4.527,2.038
4.922,2.364
5.279,2.004
4.53,2.777
4.983,2.606
4.617,3.286
5.106,3.221
5.283,2.668
4.903,3.728
1.938,0.31
1.97,0.579
2.001,0.821
1.913,1.009
2.042,1.216
2.133,1.402
2.255,1.807
2.174,2.301
2.226,2.567
2.147,2.769
2.227,3.009
2.416,3.26
2.343,3.496
2.535,3.958
2.552,3.706
2.575,3.458
2.466,3.036
2.39,2.395
2.49,2.21
2.124,0.22
2.155,0.455
2.157,0.726
2.322,0.919
2.286,1.25
2.434,1.136
2.478,1.423
2.512,1.746
2.463,1.969
2.655,2.015
2.565,2.522
2.664,2.75
2.694,2.981
2.805,3.558
2.795,3.802
2.736,4.02
3.019,4.02
3.063,3.734
3.287,3.991
2.989,3.391
3.242,3.526
2.955,3.078
3.186,3.19
3.387,3.301
3.158,2.925
3.377,3.054
2.899,2.826
2.843,2.575
3.2,2.505
2.888,2.045
2.675,1.534
2.638,1.059
2.339,0.659
2.368,0.403
2.387,0.175
2.562,0.324
2.682,0.227
2.921,0.272
2.784,0.478
2.547,0.563
2.751,0.716
2.841,0.926
2.97,0.571
3.033,0.814
2.927,1.148
2.88,1.345
2.922,1.603
3.03,1.835
3.142,2.083
3.332,2.291
3.464,2.531
3.64,2.726
3.597,2.956
3.847,3.141
3.785,3.465
3.418,3.777
3.691,3.774
3.559,4.028
3.838,3.944
4.021,4.013
4.161,3.824
4.209,3.603
4.376,3.378
4.312,3.142
4.089,3.041
4.104,2.764
3.873,2.657
3.683,2.444
3.381,2.048
3.111,1.313
3.071,0.16
3.36,0.247
3.181,0.41
3.376,0.52
3.474,0.763
3.281,0.883
3.399,1.114
3.349,1.35
3.453,1.618
3.557,1.871
3.838,2.229
3.787,2
4.303,2.696
4.332,2.928
4.556,3.057
4.837,3.144
4.476,3.606
4.439,3.84
4.685,3.804
4.81,4.013
5.07,3.955
5.192,3.751
5.063,3.536
4.702,3.542
4.88,3.396
5.299,3.476
5.398,3.881
5.382,3.235
5.182,3.029
4.957,2.981
4.868,2.755
5.102,2.808
5.401,2.915
4.687,2.564
4.598,2.292
4.331,2.224
4.292,1.956
4.492,1.771
3.965,1.623
3.876,1.361
3.635,1.277
3.813,1.114
3.855,0.916
3.714,0.689
3.813,0.484
3.565,0.496
3.606,0.305
3.844,0.237
4.074,0.197
4.082,0.434
4.327,0.354
4.277,0.107
4.085,0.931
4.286,0.863
4.24,1.063
4.472,1.084
4.134,1.457
4.407,1.52
4.581,1.373
4.837,1.458
4.767,1.855
4.792,2.108
5.024,2.133
5.215,2.225
5.139,2.44
5.389,2.464
5.03,1.892
5.189,1.727
5.408,1.84
